"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"SMURF1",57154,"31317292; 1034656352; 315434204; 31317290","NP_065162; XP_016867946; NP_001186776; NP_851994","Q547Q3; Q9HCE7; O75853; A4D279; Q9UJT8; B9EGV3; B7ZMB6"
"SMURF2",64750,"530412684; 12232397","XP_005257642; NP_073576","Q9HAU4; Q52LL1; Q96DE7; Q9H260"
"SMYD1",150572,"38093643; 1060099143","NP_001317293; NP_938015","A0AV30; Q8NB12; E9PHG3; Q5HYE8; A6NE13"
"SMYD2",56950,"188035871","NP_064582","Q9NRG4; Q5VSH9; B2R9P9; Q4V765; Q96AI4; I6L9H7"
"SMYD3",64754,"767912600; 767912606; 1034561085; 1370454222; 1370454220; 767912612; 1370454224; 767912597; 767912614; 1370454235; 267844824; 767912610; 1370454237; 12232401; 1370454228; 1370454231; 767912608; 1370454233","NP_073580; XP_011542563; NP_001161212; XP_011542562; XP_011542560; XP_016857583; XP_024304924; XP_011542555; XP_011542556; XP_011542561; XP_024304934; XP_011542559; XP_024304904; XP_024304905; XP_024304909; XP_024304916; XP_024304917; XP_024304930","Q9H7B4; A8K0P0; Q8N5Z6; B3KN46; B1AN38; Q96AI5; Q86TL8"
"SMYD4",114826,"1034598004; 1370470061; 767991560; 767991558; 156616308","XP_011521935; XP_011521934; XP_016879610; NP_443160; XP_024306328","Q96LV4; Q8IYR2; Q8N1P2; Q96PV2; Q8NAT0"
"SMYD5",10322,"154689858; 578802657; 1034611043","XP_006711981; XP_016858652; NP_006053","Q6GMV2; Q13558; D6W5H3"
"SNAI1",6615,"18765741","NP_005976","Q9UHH7; Q9UBP7; O95863; B2R842; Q9P113"
"SNAI2",6591,"11276067; ","NP_003059; ","B2R6P6; O43623; Q53FC1"
"SNAI3",333929,"77404438","NP_840101","Q3KNW1; Q86SU5"
"SNAP23",8773,"18765729; 1034592217; 18765731; 578827503; 1034592219; 1034592215","NP_003816; NP_570710; XP_006720788; XP_016878182; XP_016878181; XP_016878183","O00161; O00162; A8K287; A0A024R9R8; Q13602; Q6IAE3"
"SNAP25",6616,"1034625709; 1018443176; 1018443303; 1018443283; 1018443307; 18765733; 18765735; 530425912; 1018443235; 1018443314; 1034625711; 1018443229; 1018443211; 1018443289","XP_016883511; NP_001309833; NP_001309834; NP_001309831; NP_001309832; NP_001309835; NP_001309838; NP_003072; XP_005260865; NP_001309836; XP_016883510; NP_570824; NP_001309837; NP_001309839","Q9BR45; P13795; P60880; D3DW16; Q53EM2; Q5U0B5; Q8IXK3; D3DW17; P36974; Q96FM2; P70557; P70558; B2RAU4"
"SNAP29",9342,"4759154","NP_004773","O95721"
"SNAP47",116841,"1021589390; 1021589270; 1021589329; 1021589292; 578802136; 1034555269; 1034555267; 224465202; 1021589302; 1021589372","XP_006711797; NP_001310864; XP_016855720; XP_016855721; NP_001310860; NP_001310861; NP_444280; NP_001310863; NP_001310859; NP_001310862","Q96I66; Q5TBZ3; Q8TCW8; Q96FE1; Q8N558; Q8WV46; Q5SQN1; Q9BT10; Q8TB31; Q9BVB2; A0A087X0B7; B6EDE0; Q96NU3; Q5HYB5; Q96CQ3"
"SNAP91",9892,"1034652466; 1034652502; 1034652541; 338753419; 578813109; 767943946; 1034652480; 1034652505; 1370509024; 530383251; 767943936; 767943956; 1034652478; 1034652498; 1034652509; 1034652539; 338753421; 767943934; 767943950; 1034652490; 1034652496; 1034652507; 375493604; 1034652472; 1034652514; 1034652522; 1034652525; 1034652531; 1034652535; 375493606; 767943942; 1034652470; 1034652476; 1034652488; 1034652494; 1034652527; 1370509037; 1393169496; 767943954; 1034652482; 1034652484; 1034652520; 1034652529; 338753424; 7662228; 1034652468; 1034652474; 1034652486; 1034652492; 1034652500; 1034652511; 1034652518; 1034652533; 1370509033; ","XP_011534577; XP_016867048; XP_016867063; XP_016867072; XP_016867076; NP_001229722; XP_016867043; XP_016867046; XP_016867060; XP_016867061; XP_016867068; XP_016867071; XP_016867073; XP_016867078; XP_016867053; XP_016867058; XP_016867059; XP_016867065; XP_016867069; NP_001350606; XP_011534567; XP_016867045; XP_016867057; XP_016867070; XP_016867074; XP_011534571; XP_016867056; XP_016867064; XP_016867066; XP_024302368; NP_055656; XP_016867047; XP_016867049; XP_016867050; XP_016867079; XP_006715678; XP_011534573; XP_016867044; XP_016867051; XP_016867052; XP_024302369; NP_001229721; NP_001229723; XP_005248827; XP_011534568; XP_011534575; XP_011534578; XP_016867054; XP_016867055; XP_016867062; XP_016867075; XP_024302367; NP_001243646; NP_001243647","Q6P9D3; Q9NTY7; B7Z2N2; Q5JX13; A8K0L7; Q68DL9; E5RI02; O60641; E9PDG8; H0UI15"
"SNAPC1",6617,"4507101","NP_003073","B2RC42; Q16533"
"SNAPC2",6618,"4507103","NP_003074; ","Q13487; Q13486; B2RBZ6; D6W663"
"SNAPC3",6619,"1034671093; 1613887236; 1034671091; 1613887230; 1613887238; 1613887232; 89242152; 1613887234","XP_016870545; XP_016870546; NP_001356577; NP_001356579; NP_001356580; NP_001034786; NP_001356576; NP_001356578","Q92966; D3DRI8; Q5T285; Q2VPI6"
"SNAPC4",6621,"92859678; 578817788; 578817790; 578817794; 530426774; 1034671098; ","XP_005266153; XP_006717304; XP_006717307; XP_006717305; XP_016870547; NP_003077","Q9Y6P7; A0A024R8F4; Q5SXM2"
"SNAPC5",10302,"5174689; 1045559126; 1045560288; 1045559485","NP_001316544; NP_001316542; NP_006040; NP_001316543","A0A024R5X1; O75971; A8K7N6; Q96CF3"
"SNAPIN",23557,"6912674; ","NP_036569; ","O95295; D3DV56; Q5SXU8"
"SNCA",6622,"767932529; 4507109; 225690604; 767932531; 767932539; 767932537; 1034640995; 767932535; 225690602; 767932533; 1034640993; 6806898","XP_011530509; NP_000336; XP_011530506; XP_011530508; NP_001139527; NP_009292; XP_011530510; XP_016864052; XP_011530507; XP_011530505; XP_016864051; NP_001139526; ","P37840; Q4JHI3; A8K2A4; Q6IAU6; Q13701; H6UYS5"
"SNCAIP",9627,"578810671; 1034646863; 809281441; 767936801; 767936805; 767936829; 1034646851; 1370506850; 809263490; 809281445; 809281449; 767936827; 530380269; 1034646849; 1034646861; 1370506854; 809281443; 1034646855; 1034646869; 1370506848; 809281447; 767936809; 767936813; 530380271; 767936803; 1034646845; 1034646853; 1370506852; 339409220; 767936819; 1034646858; 76563940","XP_011542040; XP_011542045; XP_011542051; XP_016865572; XP_016865575; XP_024302034; NP_005451; XP_006714797; XP_024302036; XP_024302037; NP_001295029; XP_005272196; XP_016865573; NP_001295034; XP_016865567; XP_024302035; XP_016865571; NP_001295035; XP_011542041; XP_011542043; XP_016865570; XP_016865574; XP_016865568; XP_016865569; NP_001295038; XP_005272195; XP_011542039; XP_011542047; XP_011542052; NP_001229864; NP_001295036; NP_001295037","Q1PSC2; Q6L984; B7Z995; B7Z616; Q6L981; Q49AC6; Q6L985; Q6L983; Q9Y6H5; D3DSZ1; Q05BS1; Q504U9; Q6L986; Q9HC59; D6RHZ0"
"SNCB",6620,"578811235; 966751431; 578811233; 1370504658; 1387845389; 4507111; 767938602; 966751437; 578811231; 48255903; 966751433; 966751435","XP_006714978; NP_001304966; NP_001304964; NP_001350069; NP_001001502; XP_006714977; XP_006714979; NP_001304965; XP_011532942; NP_001304963; NP_003076; XP_024301970","Q6IAX7; G4Y816; Q16143; G4Y815"
"SNCG",6623,"1052795460; 209693439; 1370457676","NP_001317049; XP_024303905; NP_003078","O76070; O15104; Q96P61; Q6FHG5; F8W754; A6NM47"
"SND1",27044,"1034654960; 77404397","NP_055205; XP_016867476","Q7KZF4; Q13122; A0A140VK49; Q96AG0"
"SNED1",25992,"1370477244; 122937283; 767917494; 767917499; 767917502; 767917504; 767917512","XP_011509234; XP_011509235; XP_011509239; XP_024308552; NP_001073906; XP_011509233; XP_011509236","Q336F5; Q336F4; Q8TER0; B7WPM0; Q8TEP7; B5MDC3; B7WNK6; Q8N369"
"SNF8",11267,"953953839; 953953835; 21361380; 953953837; 1034597895","NP_009172; XP_016879564; NP_001304121; NP_001304123; NP_001304122","Q96H20; Q9UN50; Q8IXY3"
"SNHG28",284677,"","","-"
"SNHG32",50854,"94681059; 566035345; 566035351; 566035347; 94681055; 566035354; 566035356; 566035349; 566035358","NP_001035528; NP_001274416; NP_001035527; NP_001274412; NP_001274417; NP_001274414; NP_001274415; NP_001274411; NP_001274413","Q9UBA6; Q9UBA7; Q9BW21; Q9UBA8; A0A024RCN7"
"SNIP1",79753,"21314720","NP_078976","Q9H9T7; Q8TAD8; Q96SP9; B1AK66"
"SNN",8303,"4507117; 1034596178; 1034596176","NP_003489; XP_016879230; XP_016879231","O75324; Q6FGI0; D3DUG4"
"SNORC",389084,"1370477630; 1070257603; 1034613902; 1034613904; 1070257727; 1034613906; 1070257593; 46047467","XP_024308650; NP_001333051; NP_996778; XP_016859571; XP_016859572; XP_016859573; NP_001333049; NP_001333050","Q6UX34"
"SNPH",9751,"768014719; 970841898; 530426077; 768014732; 768014721; 38202246","XP_005260946; XP_011527705; NP_001305163; NP_055538; XP_011527704; XP_011527706","Q8IYI3; O15079; A0A3B3IRY9"
"SNRK",54861,"530372690; 156105707; 1061899933; 156105705","XP_005265302; NP_001317679; NP_060189; NP_001094064","E7EUC4; B2RAV6; Q14706; A0A024R2Y6; A8K5P5; Q9NRH2; Q6IQ46; Q68D15; Q9NXI7; B4DHM9"
"SNRNP200",23020,"40217847; ","NP_054733","Q9H7S0; O75643; O94884; Q6PX59; Q6NZY0; Q96IF2; Q8NBE6"
"SNRNP25",79622,"13443018","NP_078847; ","Q6IEF8; Q9H5W4; Q9BV90; Q1W6H3"
"SNRNP27",11017,"24307919; ","NP_006848; ","Q15410; Q8WVK2; A8K513"
"SNRNP35",11066,"578823211; 31077198; 13027642; 1034577677","XP_016874213; NP_851030; XP_006719267; NP_073208","Q16560; A0A024RBU2; A8K262; Q5XKN9"
"SNRNP40",9410,"115298668","NP_004805","Q96DI7; O75938; O95320; A0MNP2; B4DQJ1"
"SNRNP48",154007,"767939282; 71143123; ","NP_689764; XP_011512614; ","A8K8P4; Q5THM1; Q5THM2; Q6IEG0; Q5T339; Q14C91; Q96MK1"
"SNRNP70",6625,"768010688; 666637959; 29568103; 1034609073","NP_003080; XP_011525542; NP_001287998; XP_011525543","Q9UE46; A0A024QZD5; Q9UFQ6; P78494; Q15364; Q15686; Q15687; B3KUA3; P78493; Q99377; Q9UE45; Q15689; Q9UE48; P08621; Q9UE47; Q9UFS1"
"SNRPA",6626,"4759156","NP_004587","P09012"
"SNRPA1",6627,"50593002","NP_003081","P09661; B2R5I6; Q8TBD2"
"SNRPB",6628,"4507125; 38150007","NP_937859; NP_003082; ","Q15490; Q6IB35; Q66K91; P14678; Q9UIS5"
"SNRPB2",6629,"4507123; 38149981","NP_937863; NP_003083","D3DW21; B2R7J3; P08579; Q9UJD4"
"SNRPC",6631,"4507127","NP_003084","Q5TAL4; P09234; Q5TAL3"
"SNRPD1",6632,"5902102; 632794837","NP_001278845; NP_008869","P62314; B5BTZ1; P13641"
"SNRPD2",6633,"1620863269; 237649049; 4759158; 1620863306","NP_001356680; NP_004588; NP_001356681; NP_808210","A8K797; J3KPM5; P62316; P43330"
"SNRPD3",6634,"521258690; 4759160","NP_001265585; NP_004166","B4DJP7; P43331; P62318; B5BU13"
"SNRPE",6635,"751130453; 1040460947; 1040460949; 4507129","NP_001315566; NP_001315567; NP_003085; NP_001291393; ","Q15498; P08578; P62304; Q5BKT2; B2R5B9"
"SNRPF",6636,"4507131","NP_003086","P62306; Q6IBQ1; A2VCR2; Q6P4I0; B2R498; Q15356"
"SNRPG",6637,"953514543; 953514549; 1034616111; 953514547; 953514553; 953514551; 953514545; 4507133","NP_001304100; NP_001304095; NP_001304098; NP_003087; NP_001304094; XP_016860263; NP_001304096; NP_001304097","Q49AN9; Q6IB86; C9JVQ0; F5H013; C9J303; Q15357; P62308; D6W5G6"
"SNRPN",6638,"1160351482; 1160351480; 1160351423; 1160351443; 1160351430; 1160351434; 1160351469; 1160351471; 1160351463; 4507135; 1160351441; 13027644; 13027648; 1160351445; 1160351450; 13027646; 13027650","NP_001336394; NP_001336390; NP_003088; NP_001336389; NP_073716; NP_073719; NP_001336385; NP_001336387; NP_001336388; NP_073717; NP_001336384; NP_001336383; NP_001336392; NP_001336386; NP_001336391; NP_001336393; NP_073718","X5DP00; B3KVR1; P17135; Q0D2Q5; P63162; P14648"
"SNTA1",6640,"768018127; 1370480872; 530418323; 768018131; 4507137","XP_005260574; NP_003089; XP_011527310; XP_024307739; XP_011527309","Q13424; B4DX40; A8K7H9; E1P5N1; Q16438"
"SNTB1",6641,"767953471; 11321640","XP_011515541; NP_066301","A8K9E0; O14912; Q4KMG8; Q13884"
"SNTB2",6645,"5803177","NP_006741; ","Q13425; Q9BY09; A0A024R732"
"SNTG1",54212,"1370512488; 568215741; 1034660725; 568215743; 767951823; 1034660732; 1012443743; 1012443745; 1012443751; 1012443747; 1034660727; 1034660730; 1012443749; 9507163; ","NP_001274742; NP_001308704; NP_001308702; XP_016869069; NP_061840; NP_001274743; XP_011515850; XP_016869070; XP_016869071; NP_001308706; XP_016869068; XP_024302951; NP_001308705; NP_001308707; ","Q9NSN8; Q9NY98; A0A024R7Y0; B2RA84; A0A2R8Y5T2; A0A2R8Y631; Q2M3Q0"
"SNTG2",54221,"259155293; 767913283; 1034614723; 1034614725; 1034614740; 1034614727; 1034614746; 1034614731; 1034614735; 1034614733; 1034614742; 1034614738; 1034614744; 1034614748; 1034614729; 1370477991; 1034614750","XP_016859856; XP_011508668; XP_016859861; XP_024308738; XP_016859852; XP_016859858; XP_016859863; NP_061841; XP_016859853; XP_016859859; XP_016859857; XP_016859862; XP_016859854; XP_016859860; XP_016859850; XP_016859851; XP_016859855","Q05AH5; Q9NY99"
"SNTG2-AS1",101060391,"","","-"
"SNTN",132203,"122937510; 1146187815","NP_001074006; NP_001335685","A6NMZ2; B7FF65"
"SNU13",4809,"51317376; 4826860; 1034629018","NP_001003796; XP_016884300; NP_004999","P55769; Q6FHM6"
"SNUPN",10073,"110611151; 5031833; 110611149","NP_005692; NP_001036046; NP_001036053","O95149; A8K0B0; D3DW76; A6NE34"
"SNURF",8926,"13027653; 13027655","NP_005669; NP_073715; ","Q0D2Q5; P63162; A6NCW2; B3KVR1; A0A024R0T6; P14648; P17135; Q9Y675"
"SNW1",22938,"530403264; 974005398; 6912676","XP_005267470; NP_036377; NP_001305773","A8K8A9; Q5D0D6; G3V3A4; Q13483; Q13573; Q32N03"
"SNX1",6642,"23111032; 23111034; 530406334; 339409190","NP_001229862; NP_683758; NP_003090; XP_005254668","Q13596; A6NM19; H0Y2M5; A8K6T7; Q6ZRJ8; O60750; O60751"
"SNX10",29887,"1034655234; 315360664; 23111023; 315360660; 578813461; 970598262; 315360662; 1034655236; 1383486309; 1034655232; 970598258; 1383485503","XP_006715775; NP_001186764; NP_001186766; NP_001305128; NP_001349683; XP_016867576; NP_001305127; NP_037454; XP_016867575; NP_001349682; XP_016867574; NP_001186767","A0A024RA70; Q8IYT5; B4DJM0; Q9Y5X0; Q8N5Z3; E9PFH5"
"SNX11",29916,"530412009; 1057866471; 530412005; 23111028; 767994488; 1370470821; 23111026","XP_011522999; NP_037455; XP_005257319; NP_689450; XP_024306504; XP_005257317; NP_001317249","B4DPY5; D3DTV0; Q53YC0; Q9Y5W9; B3KRL6; Q9H885"
"SNX12",29934,"371874642; 23111030; 371874557; 371874679; 371874602","NP_001243115; NP_001243117; NP_037478; NP_001243114; NP_001243116","Q3SYF1; Q9UMY4; F8W8K5; Q8WUG9"
"SNX13",23161,"1370509770; 1186128409; 767945111; 1034654683; 1186128418; 1034654688; 1186128405; 530384598; 767945103; 767945105; 767945107; 1186128430; 17864088; 1034654679; 1186128498; 1186128525; 1186128483","NP_001337797; NP_001337791; NP_055947; XP_005249730; XP_016867385; NP_001337793; NP_001337795; NP_001337796; XP_011513531; XP_011513533; XP_016867383; XP_024302464; XP_011513532; XP_016867382; NP_001337792; NP_001337799; XP_011513535","O94821; Q86XC4; B2RCI9; A0A024R9Z9; Q8WXH8; Q9Y5W8; Q8WVZ2"
"SNX14",57231,"1182924182; 1034650959; 1370508369; 1182923552; 1182918097; 1182921892; 1182924541; 1182924660; 662236845; 1182919515; 1182918483; 1182919738; 751247049; 1182918930; 767943218; 1182919222; 1182924770; 1182921527; 1370508371; 1182924364; 1182922572; 24797145; 1182921998; 1182919403; 1182924531; 1182921949; 1182918148; 1182921384; 1182922402; 24797143","NP_001337469; NP_001337471; NP_001337472; NP_001337482; NP_001337468; NP_001337475; NP_001337477; XP_024302267; NP_001337478; XP_011534279; NP_001337473; NP_001337476; NP_001337464; NP_001337466; NP_001337467; NP_001337481; NP_065201; NP_722523; XP_024302266; NP_001291408; NP_001337470; XP_016866579; NP_001337461; NP_001337463; NP_001337465; NP_001337474; NP_001337479; NP_001284543; NP_001337462; NP_001337480","Q6NUI7; Q6PI37; Q4VBR3; Q5TCF9; B4DI55; Q5TCG0; Q9Y5W7; Q9BSD1"
"SNX15",29907,"22547191; 46370089","NP_680086; NP_037438","Q9NRS5; Q9NRS6; E5KQS6; E5KQS5"
"SNX16",64089,"23238246; 530388522; 23238244; 767951887; 1131742484; 23238248","NP_001335118; NP_071416; NP_690050; XP_005251339; NP_690049; XP_011515876","Q8N4U3; A8K4D8; Q658L0; P57768"
"SNX17",9784,"388596707; 388596709; 388596705; 7661890; 1034618089; 767915499","XP_011531505; NP_055563; XP_016860894; NP_001253989; NP_001253990; NP_001253988","Q6IAS3; B4DQ37; Q15036; Q53HN7; B4DDM3; B4DQM7; B4DTB8"
"SNX18",112574,"224177511; 157057543; 1034643448; 157057545","NP_001096045; NP_443102; NP_001138899; XP_016864486","Q0VG02; Q96RF0; Q05BB3; H7BXX3; B4E2B3"
"SNX19",399979,"767970159; 767970148; 767970157; 1122781598; 767970150; 1122781512; 1122781887; 157502171; 1122780613; 1122781541; 767970161; 1122780930; 1122781976; 666637984; 1122781460; 1122780905; 1370459398; 1122780615","NP_001334847; XP_011541127; NP_001334850; NP_001334853; XP_011541128; XP_024304289; NP_001334854; NP_001334856; XP_011541126; XP_011541122; NP_001334848; NP_001334849; NP_001334852; NP_055573; XP_011541123; NP_001288018; NP_001334851; NP_001334855","B7ZAU9; Q8IV55; E9PKB9; E9PJV7; Q92543; E9PLV3"
"SNX2",6643,"503774159; 23111038","NP_001265128; NP_003091","B3KN44; B4DEK4; Q53XK8; B7Z408; P82862; Q597H6; Q9BTS8; O60749; O43650"
"SNX20",124460,"23503255; 33504571; 222352102","NP_878274; NP_001138444; NP_699168","A8K9D5; Q08E98; Q6P4H2; Q7Z614; Q8IV59"
"SNX21",90203,"111118959; 530418515; 23510350; 768018593; 15553099; 768018605; 111118961; 768018597","XP_005260665; NP_001036098; XP_011527400; NP_001036097; XP_011527397; XP_011527398; NP_219489; NP_690857","Q05DJ0; A0A0S2Z632; Q969T3; Q8WY78; Q5JZH5; Q5JZH7; Q8WUR6; Q9BR16; Q5JZH6"
"SNX22",79856,"1034591892; 71772838; 530406470","XP_005254734; NP_079074; XP_016878070","Q9H844; A0A024R5Y5; Q6ZTF9; Q96L94; Q8WUS9"
"SNX24",28966,"530379867; 767935784; 1034644715; 578810304; 767935789; 1034644712; 1034644717; 767935781; 7662655","XP_016864884; XP_011541652; XP_011541654; XP_005272029; XP_011541651; XP_006714655; XP_016864883; NP_054754; XP_016864885","Q9Y343; Q6UY33"
"SNX25",83891,"1034641376; 767932789; 1034641362; 1034641380; 530378259; 767932783; 1034641378; 767932794; 1034641370; 767932785; 1370487666; 767932781; 767932787; 1034641372; 960513893","XP_005263324; XP_016864169; XP_011530610; XP_016864175; XP_016864172; XP_016864176; XP_011530608; XP_016864173; XP_016864174; NP_001304710; XP_011530605; XP_024310008; XP_011530604; XP_011530606; XP_011530607; ","Q8N6K3; Q3ZT30; Q9H3E2"
"SNX27",81609,"1061213992; 767910545; 530365427; 1034562145; 31742501; 530365429; 1370454682; 767910547; 767910542; 1370454684","XP_016857906; NP_001317652; NP_112180; XP_024305806; XP_024305807; XP_011508326; XP_011508328; XP_005245567; XP_005245568; XP_011508327","Q32Q36; Q4AEJ5; Q96L92; Q5VWB2; A0A2R8Y8A7; Q6IPP6; Q5VWB0; Q96D79; Q5VWB1; Q86UB1; Q9H3K8"
"SNX29",92017,"767987846; 1034596596; 530409381; 767987833; 1034596582; 1034596592; 343780938; 530409379; 1034596579; 767987839; 1034596577; 1034596585; 1370469483; 767987843; 1034596594","XP_011521046; XP_016879360; XP_016879362; XP_011521043; XP_016879363; XP_016879365; XP_016879361; XP_016879367; XP_005255739; XP_011521040; XP_005255740; NP_115543; XP_011521045; XP_016879366; XP_024306259","Q8TEQ0; Q8N2X2; Q9HA26; B5MDW2"
"SNX3",8724,"665505963; 23111041; 4507143; 665505924","NP_001287858; NP_003786; NP_690040; NP_001287857","A8K0B1; Q9C0J5; E1P5E4; Q5JXJ7; O60493; Q5JXJ8; O60718; Q4TT29; Q96AP9; Q9NU45; E1P5E5; Q4TT31"
"SNX30",401548,"767957455; 1370514481; 153791707; 1034665250","XP_024303312; XP_016870205; XP_011516993; NP_001013012","Q5VWJ9"
"SNX31",169166,"767952641; 1034659458; 1034659466; 1370511970; 1034659468; 1034659474; 1034659472; 1034659477; 1034659479; 1393170131; 1034659462; 1370511968; 1370511972; 1034659460; 1034659482; 222537716; 530388808; 1034659464; 1034659470; 1034659484","XP_011515201; XP_016868646; XP_016868648; XP_016868649; XP_016868650; XP_016868652; XP_016868653; XP_016868642; XP_024302854; XP_016868644; NP_001350649; XP_016868651; XP_016868643; XP_024302853; NP_689841; XP_005250872; XP_016868645; XP_016868647; XP_016868654; XP_024302852","C9J6L9; Q8N9S9; Q8N0U9"
"SNX32",254122,"1370459042; 578821254; 1370459049; 1370459044; 1370459047; 1034572832; 72534838","XP_016872962; XP_024304188; XP_024304187; XP_006718551; NP_689973; XP_024304185; XP_024304186","Q86XE0; Q8IW53; Q96NG4"
"SNX33",257364,"970259828; 23397574","NP_001305075; NP_695003","Q8WV41; B1NM17"
"SNX4",8723,"1034636229; 4507145","XP_016862903; NP_003785; ","D3DNA3; O95219; B4DQV4; B3KMH0"
"SNX5",27131,"23111047; 540344544; 7657599","NP_055241; NP_689413; NP_001269383","Q9Y5X3; Q52LC4; Q6P5V6; D3DW26; Q9BWP0; B7ZKN3; Q7KZN0"
"SNX6",58533,"1488045793; 88703043; 578826031; 1488045773","XP_006720287; NP_689419; NP_001353448; NP_067072","Q9UNH7; A0A0A0MRI2; C0H5W9; Q9Y449"
"SNX7",51375,"1426138766; 1034559022; 767904590; 194294540; 578799217; 1034559024; 297747325; 1034559017; 578799219; 1034559020","XP_011539866; XP_016856915; XP_016856914; NP_057060; XP_016856916; XP_016856917; XP_006710740; XP_006710741; NP_689424; NP_001351832","Q9UNH6; Q5VT09; Q86U82; B4DP69; Q5VT10; E9PNL2; Q96FW9; Q53FQ3; A8KAF3; D3DT50; Q8WVD4; Q9Y3Z7"
"SNX8",29886,"1034655228; 1034655230; 767945343; 767945345; 23943858","XP_016867573; XP_016867572; NP_037453; XP_011513631; XP_011513632","Q96I67; Q9Y5X2; A4D207"
"SNX9",51429,"767942992; 530383790; 7706706","NP_057308; XP_005267072; XP_011534188","Q9UJH6; Q9BVM1; Q9Y5X1; Q9BSI7; Q9UP20"
"SOAT1",6646,"767910254; 357430782; 357430784; 767910252; 49533617","XP_011508213; NP_001239441; NP_003092; NP_001239440; XP_011508214","A8K3P4; A6NC40; B4DU95; Q8N1E4; P35610; A9Z1V7; Q5T0X4"
"SOAT2",8435,"4507147","NP_003569","I6L9H9; Q9UNR2; F5H7W4; Q96TD4; Q4VB99; O75908; Q4VBA1"
"SOBP",55084,"1034650689; 1034650693; 530383848; 767943082; 1034650687; 530383850; 767943090; 1034650691; 117938310; 767943085; ","XP_005267099; XP_011534223; XP_016866481; XP_016866482; XP_016866483; NP_060483; XP_011534222; XP_005267098; XP_011534225; XP_016866480; ","A7XYQ1; B0QZ12; Q5BJD4; Q8N2B2; Q24K27"
"SOCS1",8651,"4507233","NP_003736","Q9NSA7; O15524; Q4JHT5; O15097"
"SOCS2",8835,"1034582151; 394582051; 394582088; 4507263; 767975804; 767975802; 1034582141; 394582059; 394582079; 767975789; 1034582143; 1034582145; 1034582149; 1034582157; 394582068","XP_011537238; NP_001257397; NP_001257399; XP_016875637; XP_016875644; NP_001257398; NP_001257400; XP_011537231; XP_016875638; NP_003868; XP_016875641; XP_011537237; XP_016875636; XP_016875640; NP_001257396","Q9UKS5; O14542; O95102; O14508; A8K3D1; A0A024RBD2"
"SOCS3",9021,"45439352; ","NP_003946","O14543; Q6FI39; O14509"
"SOCS4",122809,"40807480; 767979705; 767979707; 18254466","XP_011534728; NP_955453; XP_011534727; NP_543143","Q5H9R6; Q8WXH5"
"SOCS5",9655,"7662240; 21618354","NP_054730; NP_659198","O75159; Q53SD4; Q8IYZ4"
"SOCS6",9306,"21450785; 530414379; 1034605035; 1034605037","XP_016881576; XP_005266840; NP_004223; XP_016881575","A0A024R379; O14544; Q8WUM3"
"SOCS7",30837,"1524116406; 1034599440; 1034599438; ","XP_016880041; XP_016880040; NP_055413","O14512; Q0IJ63; A2VCU2"
"SOD1",6647,"4507149","NP_000445","Q16838; Q16711; Q16839; A6NHJ0; D3DSE4; P00441; Q16840; V9HWC9; Q16669; Q6NR85"
"SOD2",6648,"1018191630; 1018191632; 1018191636; 1018191634; 67782307; 1018191638; 67782309; 67782305; 1018191640","NP_001309743; NP_001309744; NP_001309745; NP_001309748; NP_000627; NP_001019636; NP_001019637; NP_001309746; NP_001309749","G5E9P6; B4E3K9; P78434; Q16792; B2R7R1; P04179; Q9P2Z3; B3KUK2; E1P5A9; Q96AM7; B4DL20; A0A384NL29; Q9UG59; Q5TCM1; Q96EE6"
"SOD3",6649,"118582275","NP_003093; ","Q6FHA2; A0A140VJU8; Q5U781; P08294"
"SOGA1",140710,"66773344; 257467639","NP_542194; NP_954650; ","Q6ZTG8; A6NK10; Q14DB2; X6R3R3; O94964; Q5JW51"
"SOGA3",387104,"59806361","NP_001012279","Q5TF21; A5PLQ8"
"SOHLH1",402381,"156119601; 767957476; 1370514502; 578817469; 156119603; 530426619","XP_024303320; XP_005263460; NP_001095147; XP_006717172; NP_001012415; XP_011517000","Q5EE14; Q5EGC2; C9JG81; Q8NEE3; Q5JUK2"
"SOHLH2",54937,"239047343; 531034779","NP_001269076; NP_060296","Q9NX45; B4DX90; Q5EGC3; Q8TC74; Q96QX4"
